facility_id,facility_name,full_address,postal_code,snapshot_date
1,4S Eldercare Centre @ Eunos Crescent,31A Eunos Crescent #06-01 Singapore 401031,401031,3/12/2026
2,AWWA Dementia Day Care Centre,123 Ang Mo Kio Avenue 6 #01-4035 Singapore 560123,560123,3/12/2026
3,AWWA Dementia Day Care Centre @ Yishun,740 Yishun Avenue 5 #01-490 Singapore 760740,760740,3/12/2026
4,Active Global @ Fernvale Glades,460 Sengkang West Way #01-02 Singapore 790460,790460,3/12/2026
5,Active Global Ghim Moh Active Ageing Centre (Care),31A Ghim Moh Link #01-11 Singapore 272031,272031,3/12/2026
6,Active Global Telok Blangah Active Ageing Centre (Care),92 Telok Blangah Street 31 #01-255 Singapore 100092,100092,3/12/2026
7,All Saints Home (Tampines),11 Tampines Street 44 Singapore 529123,529123,3/12/2026
8,All Saints Silver Lifestyle Club @ Yishun Central,2 Yishun Avenue 9 Yishun Polyclinic #01-02 Singapore 768898,768898,3/12/2026
9,All Saints Silver Lifestyle Club @ Yishun Fern Grove,674 Yishun Avenue 4 #01-11 Singapore 760674,760674,3/12/2026
10,Care Corner Active Ageing Hub @ Toa Payoh East,261A Toa Payoh East #01-03 Singapore 311261,311261,3/12/2026
11,Care Corner Active Ageing Hub @ Toa Payoh West,131 Lorong 1 Toa Payoh #01-01 Singapore 310131,310131,3/12/2026
12,Geylang East Home For The Aged Senior Care Centre,96 Aljunied Crescent #01-461 Singapore 380096,380096,3/12/2026
13,Handicaps Welfare Association (HWA) (Jurong Point),1 Jurong West Central 2 Jurong Point Shopping Centre #04-03 Singapore 648886,648886,3/12/2026
14,Home Nursing Foundation Wellness @ Buangkok,991B Buangkok Link Buangkok Square #01-251 Singapore 532991,532991,3/12/2026
15,Home Nursing Foundation Wellness @ Hougang,35 Hougang Avenue 3 Hougang Community Club #04-01 Singapore 538840,538840,3/12/2026
16,Hua Mei EPICC - Tiong Bahru,298 Tiong Bahru Road Central Plaza #15-01/06 Singapore 168730,168730,3/12/2026
17,Hua Mei EPICC - Whampoa,300 Whampoa Drive Whampoa Community Club #02-30 Singapore 327737,327737,3/12/2026
18,Jamiyah Senior Care Centre,130 West Coast Drive Jamiyah Nursing Home Singapore 127444,127444,3/12/2026
19,Kwong Wai Shiu Care @ Jalan Besar,69 Jellicoe Road #02-01 #03-01 Singapore 208737,208737,3/12/2026
20,Kwong Wai Shiu Care @ McNair,113 McNair Road Singapore 321113,321113,3/12/2026
21,Kwong Wai Shiu Care @ Potong Pasir,51 Potong Pasir Avenue 1 Kwong Wai Shiu Hospital @ Potong Pasir Singapore 358400,358400,3/12/2026
22,Kwong Wai Shiu Care @ St George,25 St. George's Lane #01-01 Singapore 320025,320025,3/12/2026
23,Kwong Wai Shiu Hospital,705 Serangoon Road Singapore 328127,328127,3/12/2026
24,Kwong Wai Shiu Hospital @ Potong Pasir,51 Potong Pasir Avenue 1 Singapore 358400,358400,3/12/2026
25,Kwong Wai Shiu Senior Care Centre,705 Serangoon Road Kwong Wai Shiu Hospital Singapore 328127,328127,3/12/2026
26,Lentor Senior Care Centre @ Macpherson,2 MacPherson Walk Singapore 369573,369573,3/12/2026
27,Lentor Senior Care Centre @ West Coast,151 West Coast Crescent Singapore 129650,129650,3/12/2026
28,Lions Home for the Elders Senior Care Centre Bishan,9 Bishan Street 13 Singapore 579804,579804,3/12/2026
29,MWS Senior Care Centre @ Eunos,1 Chin Cheng Avenue Eunos Polyclinic #01-02 Singapore 429400,429400,3/12/2026
30,Man Fatt Lam Elderly Joy Day Centre,20 Jalan Langgar Bedok Singapore 468584,468584,3/12/2026
31,Man Fut Tong Ho Yuen Hoe Senior Care Centre,14F Richards Avenue Man Fut Tong Old People's Home Singapore 546416,546416,3/12/2026
32,Man Fut Tong Nursing Home,20 Woodlands Street 82 Singapore 738507,738507,3/12/2026
33,Montessori Seniors Ltd,1 Kay Siang Road #04-10 Singapore 248922,248922,3/12/2026
34,Muhammadiyah Health and Day Care Centre,10 Eunos Crescent Singapore 400010,400010,3/12/2026
35,NTUC Health Active Ageing Centre (Care) @ Bukit Batok West,439 Bukit Batok West Avenue 8 #01-01 Singapore 650439,650439,3/12/2026
36,NTUC Health Active Ageing Centre (Care) @ Bukit Merah Silat,141 Jalan Bukit Merah #01-1172 Singapore 160141,160141,3/12/2026
37,NTUC Health Active Ageing Centre (Care) @ Jurong Central Plaza,493 Jurong West Street 41 #02-01 Singapore 640493,640493,3/12/2026
38,NTUC Health Active Ageing Centre (Care) @ Kampung Admiralty,676 Woodlands Drive 71 #06-01 Singapore 730676,730676,3/12/2026
39,NTUC Health Active Ageing Centre (Care) @ Tampines,1 Tampines Street 22 Level 1 Singapore 529367,529367,3/12/2026
40,NTUC Health Active Ageing Centre (Care) @ Wisma Geylang Serai,1 Engku Aman Turn Wisma Geylang Serai #03-04 Singapore 408528,408528,3/12/2026
41,NTUC Health Day Centre for Seniors @ Boon Lay,216 Boon Lay View #01-05 Singapore 640216,640216,3/12/2026
42,NTUC Health Day Centre for Seniors @ Chai Chee,35 Chai Chee Street Level 2 Singapore 468984,468984,3/12/2026
43,NTUC Health Day Centre for Seniors @ Ci Yuan,51 Hougang Avenue 9 Ci Yuan Community Club #03-01 Singapore 538776,538776,3/12/2026
44,NTUC Health Day Centre for Seniors @ Dakota Crescent,62 Dakota Crescent #01-315 Singapore 390062,390062,3/12/2026
45,NTUC Health Day Centre for Seniors @ Fengshan,91 Bedok North Street 4 #01-1527 Singapore 460091,460091,3/12/2026
46,NTUC Health Day Centre for Seniors @ Geylang East,25 Geylang East Central Level 3 Singapore 389708,389708,3/12/2026
47,NTUC Health Day Centre for Seniors @ Heartbeat@Bedok,11 Bedok North Street 1 Heartbeat @ Bedok Singapore 469662,469662,3/12/2026
48,NTUC Health Day Centre for Seniors @ Henderson,95B/95C Henderson Road City Vue @Henderson #01-22/40 Singapore 152095,152095,3/12/2026
49,NTUC Health Day Centre for Seniors @ Jurong Central,402 Jurong West Street 42 #01-525 Singapore 640402,640402,3/12/2026
50,NTUC Health Day Centre for Seniors @ Jurong Spring,6B Jurong West Street 52 Level 1 Singapore 649298,649298,3/12/2026
51,NTUC Health Day Centre for Seniors @ Jurong West,50 Jurong West Street 93 NTUC Health Nursing Home Level 2 Singapore 648967,648967,3/12/2026
52,NTUC Health Day Centre for Seniors @ Marsiling,172 Woodlands Street 13 #01-303-315 Singapore 730172,730172,3/12/2026
53,NTUC Health Day Centre for Seniors @ May Wong Social Centre,117 Bukit Merah View #01-201 Singapore 151117,151117,3/12/2026
54,NTUC Health Day Centre for Seniors @ Pasir Ris Central,112 Pasir Ris Street 11 #01-657 Singapore 510112,510112,3/12/2026
55,NTUC Health Day Centre for Seniors @ Pasir Ris,12 Pasir Ris Walk NTUC Health Nursing Home (Pasir Ris) #01-01 Singapore 518063,518063,3/12/2026
56,NTUC Health Day Centre for Seniors @ Punggol South,571 Hougang Street 51 #01-119 Singapore 530571,530571,3/12/2026
57,NTUC Health Day Centre for Seniors @ Radin Mas,51 Telok Blangah Crescent Radin Mas Community Club #03-01 Singapore 098917,098917,3/12/2026
58,NTUC Health Day Centre for Seniors @ Serangoon Central,264 Serangoon Central Braddell Heights Community Hub #01-207 Singapore 550264,550264,3/12/2026
59,NTUC Health Day Centre for Seniors @ Taman Jurong,349 Corporation Drive #01-502 Singapore 610349,610349,3/12/2026
60,NTUC Health Day Centre for Seniors @ Toa Payoh,169 Toa Payoh Lorong 1 #01-1052 Singapore 310169,310169,3/12/2026
61,New Horizon Centre @ Bukit Batok,511 Bukit Batok Street 52 #01-211 Singapore 650511,650511,3/12/2026
62,New Horizon Centre @ Jurong Point,1 Jurong West Central 2 Jurong Point Shopping Centre #04-04 Singapore 648886,648886,3/12/2026
63,New Horizon Centre @ Tampines,362 Tampines Street 34 #01-377 Singapore 520362,520362,3/12/2026
64,New Horizon Centre @ Toa Payoh,157 Lor 1 Toa Payoh #01-1195 Singapore 310157,310157,3/12/2026
65,Orange Valley Active Ageing Centre (Care) @ Alkaff Crescent,115C Alkaff Crescent #03-01 Singapore 343115,343115,3/12/2026
66,Peacehaven Changi Day Centre,7 Upper Changi Road North Singapore 507705,507705,3/12/2026
67,REACH Senior Care Centre @ Senja Valley,645 Senja Close #01-01 Singapore 670645,670645,3/12/2026
68,Ren Ci AAC (Care) @ Bukit Batok St 52,31 Bukit Batok Street 52 Renci @ Bukit Batok Street 52 Singapore 659251,659251,3/12/2026
69,Ren Ci Community Hospital,71 Irrawaddy Road Singapore 329562,329562,3/12/2026
70,Ren Ci Senior Care Centre @ Ang Mo Kio,10 Ang Mo Kio Avenue 8 Singapore 567727,567727,3/12/2026
71,Ren Ci Senior Care Centre @ Bukit Batok St 52,31 Bukit Batok Street 52 Singapore 659251,659251,3/12/2026
72,Ren Ci Senior Care Centre @ Woodlands,17 Woodlands Drive 17 Woodlands Health Campus Tower E Singapore 737628,737628,3/12/2026
73,SASCO @ Telok Blangah,30 Telok Blangah Rise #01-316 Singapore 090030,090030,3/12/2026
74,SASCO Hong Kah North Day Care Centre,337 Bukit Batok Street 34 #01-06 Singapore 650337,650337,3/12/2026
75,SASCO @ Jurong West,715 Jurong West Street 71 #01-47 Singapore 640715,640715,3/12/2026
76,SASCO @ West Coast,704 West Coast Road #01-431 Singapore 120704,120704,3/12/2026
77,SBWS Fu Hui Golden Care Centre,19 Compassvale Walk Fu Hui Link Singapore 544644,544644,3/12/2026
78,SNM Carelight Senior Care Centre,141 Bedok Reservoir Road #01-1529 Singapore 470141,470141,3/12/2026
79,SPARKLE CARE @ CHANGI SIMEI,120 Simei Street 1 #01-476 Singapore 520120,520120,3/12/2026
80,SPD Canberra Senior Care Centre,21 Canberra Link #02-03 Singapore 756973,756973,3/12/2026
81,SPD Melody Spring Yishun Senior Care Centre,477B Yishun Street 44 Singapore 762477,762477,3/12/2026
82,SPD @ Toa Payoh,249 Kim Keat Link #01-83 Singapore 310249,310249,3/12/2026
83,ST ANDREWS SENIOR CARE CENTRE QUEENSTOWN,11 Jalan Penjara Singapore 149380,149380,3/12/2026
84,ST ANDREWS SENIOR CARE JOY CONNECT,5 Beach Road #01-4919 Singapore 190005,190005,3/12/2026
85,ST LUKES ELDERCARE LTD - ONE PUNGGOL,1 Punggol Drive #04-06 Singapore 828629,828629,3/12/2026
86,ST ANDREWS SENIOR CARE TAMPINES NORTH,10 Tampines Street 62 SANH Tampines North Singapore 528519,528519,3/12/2026
87,ST LUKES ELDERCARE - JURONG EAST,327 Jurong East Street 31 #01-74 Singapore 600327,600327,3/12/2026
88,ST LUKES ELDERCARE - KEAT HONG,801 Keat Hong Close #01-02 Singapore 680801,680801,3/12/2026
89,ST LUKES ELDERCARE - SERANGOON CENTRE,217 Serangoon Avenue 4 #01-156 Singapore 550217,550217,3/12/2026
90,ST LUKES ELDERCARE - TAMPINES CENTRE,101 Tampines Street 11 #01-013 Singapore 521101,521101,3/12/2026
91,ST LUKES ELDERCARE - TELOK BLANGAH CENTRE,33 Telok Blangah Way #01-1038 Singapore 090033,090033,3/12/2026
92,ST LUKES ELDERCARE - WHAMPOA CENTRE,97 Whampoa Drive #01-222 Singapore 320097,320097,3/12/2026
93,ST LUKES ELDERCARE CENTRE @ ANG MO KIO POLYCLINIC,21 Ang Mo Kio Central 2 Ang Mo Kio Polyclinic #02-01 Singapore 569666,569666,3/12/2026
94,ST LUKES ELDERCARE CENTRE @ HOUGANG MEADOW,364 Upper Serangoon Road #01-02 Singapore 530364,530364,3/12/2026
95,ST LUKES ELDERCARE CENTRE @ KEBUN BARU,216 Ang Mo Kio Avenue 4 Kebun Baru Community Club Singapore 569897,569897,3/12/2026
96,ST LUKES ELDERCARE CENTRE @ MARINE PARADE,86 Marine Parade Central #01-670 Singapore 440086,440086,3/12/2026
97,ST LUKES ELDERCARE CENTRE @ SUMANG,222 Sumang Lane #01-01 Singapore 820222,820222,3/12/2026
98,ST LUKES ELDERCARE CENTRE - RIVERVALE,164 Rivervale Crescent #01-01 Singapore 540164,540164,3/12/2026
99,ST LUKES ELDERCARE LTD - BUKIT BATOK,168 Bukit Batok West Avenue 8 Singapore 650168,650168,3/12/2026
100,SWAMI Dementia Day Care,5 Sembawang Walk SWAMI Home For The Aged Singapore 757717,757717,3/12/2026
101,Senior Care Centre @ Sunlove Central,70 Buangkok View Buangkok Green Medical Park Singapore 534190,534190,3/12/2026
102,Sheng Hong Active Ageing Centre (Care) @ Sennett,175 Macpherson Road Singapore 348537,348537,3/12/2026
103,Singapore Buddhist Welfare Services,105 Punggol Road Singapore 546636,546636,3/12/2026
104,Sparkle Care @ Braddell Heights,307 Serangoon Avenue 2 Chuan Village Singapore 550307,550307,3/12/2026
105,Sparkle Care @ Bukit Panjang,422 Fajar Road #01-511 Singapore 670422,670422,3/12/2026
106,Sparkle Care @ Eunos,650 Jalan Tenaga Eunos Damai Ville #01-22 Singapore 410650,410650,3/12/2026
107,Sparkle Care @ Kreta Ayer,4 Sago Lane #03-115 Singapore 050004,050004,3/12/2026
108,Sparkle Care @ Serangoon,109 Serangoon North Avenue 1 #01-641 Singapore 550109,550109,3/12/2026
109,Sparkle Care @ Shunfu,313 Shunfu Road Shunfu Gardens #01-287 Singapore 570313,570313,3/12/2026
110,Sparkle Care @ Tampines East,209 Tampines Street 21 #01-1325 Singapore 520209,520209,3/12/2026
111,Sparkle Care @ Yew Tee,625 Choa Chu Kang Street 62 #01-206 Singapore 680625,680625,3/12/2026
112,Sree Narayana Mission Senior Care Centre @ Woodlands,861 Woodlands Street 83 Singapore 730861,730861,3/12/2026
113,St Andrews Senior Care @ Dover,28 Dover Avenue Singapore 139791,139791,3/12/2026
114,St Andrews Senior Care @ Henderson,303 Henderson Road Singapore 108925,108925,3/12/2026
